ID	DISCRIMINATOR	CODE	DISPLAY_CODE	NAME	IS_ACTIVE	CREATED_ON	CREATED_BY_ID	UPDATED_ON	UPDATED_BY_ID	VERSION	PID	P_UUID	ALH_ID
1	account.subtype	migration.migration	MIGRATION	Migration	0	2019-11-19 23:13:32.353	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
2	account.type	migration	MIGRATION	migration	0	2019-11-19 23:13:32.356	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
3	archive.address.type	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.356	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
4	archive.clean.air.type	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.356	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
5	archive.data.source.type	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.356	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
6	archive.financial.balance.transaction.type	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.364	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
7	archive.financial.balance.type	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.365	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
8	archive.license.plate.ca.type	MIGRATION	MIGRATION	Migration	0	2019-11-19 23:13:32.365	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
9	bulk.action.warning	no_move_interop	NO_MOVE_INTEROP	No Move Interop	1	2023-12-13 18:36:38.783	1	2023-12-13 18:36:38.783	1	0	SEED [V3.0]	0	1
10	archive.transponder.status	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.365	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
11	archive.transponder.type	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.366	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
12	archive.vehicle.status	migration	MIGRATION	Migration	0	2019-11-19 23:13:32.366	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
13	access.log.type	account_access	ACCOUNT_ACCESS	Account Access	1	2019-11-19 23:13:32.366	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
14	access.log.type	login_success	LOGIN_SUCCESS	Login Successful	1	2019-11-19 23:13:32.366	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
15	access.log.type	login_failure_bad_credentials	LOGIN_FAILURE_BAD_CREDENTIALS	Login Failure Bad Credentials	1	2019-11-19 23:13:32.367	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
16	access.log.type	login_failure_credentials_expired	LOGIN_FAILURE_CREDENTIALS_EXPIRED	Login Failure Credentials Expired	1	2019-11-19 23:13:32.369	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
17	access.log.type	login_failure_disabled	LOGIN_FAILURE_DISABLED	Login Failure Disabled	1	2019-11-19 23:13:32.370	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
18	access.log.type	login_failure_expired	LOGIN_FAILURE_EXPIRED	Login Failure Expired	1	2019-11-19 23:13:32.370	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
19	access.log.type	login_failure_locked	LOGIN_FAILURE_LOCKED	Login Failure Locked	1	2019-11-19 23:13:32.370	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
20	access.log.type	login_failure_provider_not_found	LOGIN_FAILURE_PROVIDER_NOT_FOUND	Login Failure Provider Not Found	1	2019-11-19 23:13:32.370	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
21	access.log.type	login_failure_proxy_untrusted	LOGIN_FAILURE_PROXY_UNTRUSTED	Login Failure Proxy Untrusted	1	2019-11-19 23:13:32.371	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
22	access.log.type	login_failure_service_exception	LOGIN_FAILURE_SERVICE_EXCEPTION	Login Failure Service Exception	1	2019-11-19 23:13:32.373	1	2021-07-23 10:34:30.599	1	0	SEED [V1.0]-[V2.0upd]	0	1
23	access.log.type	system	SYSTEM	System	1	2019-11-19 23:13:32.373	1	2019-11-19 23:13:32.373	1	0	SEED [V1.0]	0	1
