TOLL_LANE_ID	TOLL_LANE_CODE	TOLL_LOCATION_ID	DATA_STATUS_ID	DATA_STATUS_CODE	LANE	LANE_DESCRIPTION	LANE_NAME	TCA_PLAZA_TYPE	LANE_TYPE_ID	LANE_TYPE_CODE	STMT_ENTRY	STMT_EXIT	CREATED_ON	CREATED_BY_ID	UPDATED_ON	UPDATED_BY_ID	VERSION	PID	P_UUID	ALH_ID
1	FE_ROAD.SR241.PNex.1	2248	281	ACTIVE	1	SR241 Portola North Off Lane 1		7	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
2	FE_ROAD.SR241.PNen.2	2249	281	ACTIVE	2	SR241 Portola North On Lane 2		1	400	AVI			1993-10-09 15:35:25.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
3	FE_ROAD.SR241.Alen.1	2235	281	ACTIVE	1	SR241 Alton On Lane 1		6	400	AVI			1993-10-09 15:30:48.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
4	SJH_ROAD.SR73.ACex.2	1141	281	ACTIVE	2	SR73 Aliso Creek Off Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
5	FE_ROAD.SR241.PNen.1	2249	281	ACTIVE	1	SR241 Portola North On Lane 1		6	400	AVI			1993-10-09 15:34:59.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
6	FE_ROAD.SR241.PNex.2	2248	281	ACTIVE	2	SR241 Portola North Off Lane 2		1	400	AVI			1993-10-09 15:34:14.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
7	FE_ROAD.SR241.Alex.2	2234	281	ACTIVE	2	SR241 Alton Off Lane 2		1	400	AVI			1993-10-09 15:29:57.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
8	FE_ROAD.SR241.Alen.2	2235	281	ACTIVE	2	SR241 Alton On Lane 2		1	400	AVI			1993-10-09 15:31:34.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
9	FE_ROAD.SR241.Alex.1	2234	281	ACTIVE	1	SR241 Alton Off Lane 1		7	400	AVI			1993-10-09 15:20:32.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
10	SJH_ROAD.SR73.LPex.2	1133	281	ACTIVE	2	SR73 La Paz Off Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
11	SJH_ROAD.SR73.LPex.1	1133	281	ACTIVE	1	SR73 La Paz Off Lane 1		7	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
12	SJH_ROAD.SR73.LPen.2	1131	281	ACTIVE	2	SR73 La Paz On Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
13	SJH_ROAD.SR73.LPen.1	1131	281	ACTIVE	1	SR73 La Paz On Lane 1		7	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
14	FE_ROAD.SR241.Posben.2	2217	281	ACTIVE	2	SR241 Portola South On Lane 2		1	400	AVI			1993-10-09 15:31:34.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
15	FE_ROAD.SR241.Posben.1	2217	281	ACTIVE	1	SR241 Portola South On Lane 1		7	400	AVI			1993-10-09 15:30:48.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
16	FE_ROAD.SR241.LABen.2	2200	281	ACTIVE	2	SR241 Los Alisos Blvd On Lane 2		1	400	AVI			1993-10-09 15:31:34.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
17	FE_ROAD.SR241.LABen.1	2200	281	ACTIVE	1	SR241 Los Alisos Blvd On Lane 1		7	400	AVI			1993-10-09 15:30:48.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
18	FE_ROAD.SR241.LABex.2	2199	281	ACTIVE	2	SR241 Los Alisos Blvd Off Lane 2		1	400	AVI			1993-10-09 15:29:57.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
19	FE_ROAD.SR241.LABex.1	2199	281	ACTIVE	1	SR241 Los Alisos Blvd Off Lane 1		7	400	AVI			1993-10-09 15:20:32.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
20	FE_ROAD.SR241.APen.2	2178	281	ACTIVE	2	SR241 Antonio Parkway On Lane 2		1	400	AVI			1993-10-09 15:29:57.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
21	FE_ROAD.SR241.APen.1	2178	281	ACTIVE	1	SR241 Antonio Parkway On Lane 1		7	400	AVI			1993-10-09 15:20:32.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
22	FE_ROAD.SR241.APex.2	2177	281	ACTIVE	2	SR241 Antonio Parkway Off Lane 2		1	400	AVI			1993-10-09 15:31:34.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
23	FE_ROAD.SR241.APex.1	2177	281	ACTIVE	1	SR241 Antonio Parkway Off Lane 1		7	400	AVI			1993-10-09 15:30:48.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
24	FE_ROAD.SR241.Posbex.2	2216	281	ACTIVE	2	SR241 Portola South Off Lane 2		1	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
25	FE_ROAD.SR241.Posbex.1	2216	281	ACTIVE	1	SR241 Portola South Off Lane 1		7	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
26	FE_ROAD.SR241.PNen.4	2249	281	ACTIVE	4	SR241 Portola North On Lane 4		7	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
27	FE_ROAD.SR241.PNex.4	2248	281	ACTIVE	4	SR241 Portola North Off Lane 4		7	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
28	FE_ROAD.SR241.PNen.3	2249	281	ACTIVE	3	SR241 Portola North On Lane 3		7	400	AVI			1994-01-05 10:22:32.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
29	FE_ROAD.SR241.PNex.3	2248	281	ACTIVE	3	SR241 Portola North Off Lane 3		7	400	AVI			1994-01-05 10:20:59.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
30	SJH_ROAD.SR73.ACex.1	1141	281	ACTIVE	1	SR73 ALiso Creek Off Lane 1		7	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
31	SJH_ROAD.SR73.ACen.1	1143	281	ACTIVE	1	SR73 Aliso Creek On Lane 1		7	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
32	SJH_ROAD.SR73.ACen.2	1143	281	ACTIVE	2	SR73 Aliso Creek On Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
33	SJH_ROAD.SR73.ETex.1	1162	281	ACTIVE	1	SR73 El Toro Off Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
34	SJH_ROAD.SR73.ETex.2	1162	281	ACTIVE	2	SR73 El Toro Off Lane 2		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
35	SJH_ROAD.SR73.ETex.3	1162	281	ACTIVE	3	SR73 El Toro Off Lane 3		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
36	SJH_ROAD.SR73.ETen.1	1163	281	ACTIVE	1	SR73 El Toro On Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
37	SJH_ROAD.SR73.ETen.2	1163	281	ACTIVE	2	SR73 El Toro On Lane 2		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
38	SJH_ROAD.SR73.ETen.3	1163	281	ACTIVE	3	SR73 El Toro On Lane 3		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
39	SJH_ROAD.SR73.CVsb.11	1190	281	ACTIVE	11	SR73 Catalina View South Lane 11		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
40	SJH_ROAD.SR73.CVsb.12	1190	281	ACTIVE	12	SR73 Catalina View South Lane 12		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
41	SJH_ROAD.SR73.CVsb.13	1190	281	ACTIVE	13	SR73 Catalina View South Lane 13		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
42	SJH_ROAD.SR73.CVnb.13	1191	281	ACTIVE	13	SR73 Catalina View North Lane 13		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
43	SJH_ROAD.SR73.CVnb.12	1191	281	ACTIVE	12	SR73 Catalina View North Lane 12		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
44	SJH_ROAD.SR73.CVnb.11	1191	281	ACTIVE	11	SR73 Catalina View North Lane 11		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
45	SJH_ROAD.SR73.CVsb.1	1190	281	ACTIVE	1	SR73 Catalina View South Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
46	SJH_ROAD.SR73.CVsb.2	1190	281	ACTIVE	2	SR73 Catalina View South Lane 2		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
47	SJH_ROAD.SR73.CVsb.3	1190	281	ACTIVE	3	SR73 Catalina View South Lane 3		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
48	SJH_ROAD.SR73.CVsb.4	1190	281	ACTIVE	4	SR73 Catalina View South Lane 4		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
49	SJH_ROAD.SR73.CVsb.5	1190	281	ACTIVE	5	SR73 Catalina View South Lane 5		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
50	SJH_ROAD.SR73.CVsb.6	1190	281	ACTIVE	6	SR73 Catalina View South Lane 6		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
51	SJH_ROAD.SR73.CVsb.7	1190	281	ACTIVE	7	SR73 Catalina View South Lane 7		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
52	SJH_ROAD.SR73.CVnb.1	1191	281	ACTIVE	1	SR73 Catalina View North Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
53	SJH_ROAD.SR73.CVnb.2	1191	281	ACTIVE	2	SR73 Catalina View North Lane 2		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
54	SJH_ROAD.SR73.CVnb.3	1191	281	ACTIVE	3	SR73 Catalina View North Lane 3		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
55	SJH_ROAD.SR73.CVnb.4	1191	281	ACTIVE	4	SR73 Catalina View North Lane 4		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
56	SJH_ROAD.SR73.CVnb.5	1191	281	ACTIVE	5	SR73 Catalina View North Lane 5		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
57	SJH_ROAD.SR73.CVnb.6	1191	281	ACTIVE	6	SR73 Catalina View North Lane 6		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
58	SJH_ROAD.SR73.CVnb.7	1191	281	ACTIVE	7	SR73 Catalina View North Lane 7		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
59	SJH_ROAD.SR73.NCex.1	1215	281	ACTIVE	1	SR73 Newport Coast Off Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
60	SJH_ROAD.SR73.NCex.2	1215	281	ACTIVE	2	SR73 Newport Coast Off 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
61	SJH_ROAD.SR73.NCen.1	1217	281	ACTIVE	1	SR73 Newport Coast On Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
62	SJH_ROAD.SR73.NCen.2	1217	281	ACTIVE	2	SR73 Newport Coast On Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
63	SJH_ROAD.SR73.BCex.1	1226	281	ACTIVE	1	SR73 Bonita Canyon Off Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
64	SJH_ROAD.SR73.BCex.2	1226	281	ACTIVE	2	SR73 Bonita Canyon Off Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
65	SJH_ROAD.SR73.BCen.1	1227	281	ACTIVE	1	SR73 Bonita Canyon On Lane 1		4	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
66	SJH_ROAD.SR73.BCen.2	1227	281	ACTIVE	2	SR73 Bonita Canyon On Lane 2		1	400	AVI			1993-10-09 15:32:23.000	7	2024-01-25 20:15:43.542	1	2	SEED	0	1
67	FE_ROAD.SR241.TSnb.1	2257	281	ACTIVE	1	SR241 Tomato Springs N Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
68	FE_ROAD.SR241.TSsb.1	2260	281	ACTIVE	1	SR241 Tomato Springs S Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
69	FE_ROAD.SR133.IEex.1	3042	281	ACTIVE	1	SR133 Irvine East Off Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
70	FE_ROAD.SR133.IEen.1	3043	281	ACTIVE	1	SR133 Irvine East On Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
71	FE_ROAD.SR133.OGsb.1	3057	281	ACTIVE	1	SR133 Orange Grove S Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
72	FE_ROAD.SR133.OGnb.1	3058	281	ACTIVE	1	SR133 Orange Grove N Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
73	FE_ROAD.SR241.WRsb.1	3145	281	ACTIVE	1	SR241 Windy Ridge S Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
74	FE_ROAD.SR241.WRnb.1	3150	281	ACTIVE	1	SR241 Windy Ridge N Lane 1		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
75	FE_ROAD.SR241.TSnb.2	2257	281	ACTIVE	2	SR241 Tomato Springs N Lane 2		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
76	FE_ROAD.SR241.TSnb.3	2257	281	ACTIVE	3	SR241 Tomato Springs N Lane 3		3	400	AVI			1970-01-01 00:00:00.000	1	2024-01-25 20:15:43.542	1	2	SEED	0	1
