TOLL_LOCATION_ID	TOLL_LOCATION_CODE	TOLL_ROAD_ID	DATA_STATUS_ID	DATA_STATUS_CODE	PLAZA	PLAZA_NAME	LATITUDE	LONGITUDE	ROAD_AGENCY_ID	CORRIDOR	DIRECTION	CREATED_ON	CREATED_BY_ID	UPDATED_ON	UPDATED_BY_ID	VERSION	PID	P_UUID	ALH_ID
0	MIGRATION ROAD 0.MIGRATION PLAZA 0	28	281	ACTIVE	0	MIGRATION PLAZA 0			28	0		2019-11-20 11:07:05.669	1	2024-01-25 20:15:42.055	1	1	SEED	0	1
2	ATCAS_ROAD.AB.An	18	281	ACTIVE	2	Antioch			23	0	"0"	2003-12-19 17:24:06.864	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
3	ATCAS_ROAD.RSRB.Ri	25	281	ACTIVE	3	Richmond			23	0	"0"	2003-12-19 17:24:28.834	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
4	ATCAS_ROAD.SFOBB.SFOBB	27	281	ACTIVE	4	SFOBB			23	0	"0"	2003-12-19 17:24:29.681	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
5	ATCAS_ROAD.SMHB.SM	24	281	ACTIVE	5	San Mateo			23	0	"0"	2003-12-19 17:24:32.429	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
6	ATCAS_ROAD.DB.Du	20	281	ACTIVE	6	Dumbarton			23	0	"0"	2003-12-19 17:24:33.833	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
7	ATCAS_ROAD.CB.Ca	19	281	ACTIVE	7	Carquinez			23	0	"0"	2003-12-19 17:25:10.057	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
8	ATCAS_ROAD.BMB.Be	23	281	ACTIVE	8	Benicia			23	0	"0"	2003-12-19 17:28:48.187	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
9	ATCAS_ROAD.RB.R	37	281	ACTIVE	9	Richmond Bridge			23	0	"0"	2003-12-19 17:29:21.178	9068	2025-05-28 19:29:21.504	1	2	SEED	0	1
10	SANDAG_ROAD.I15SD.SD	4	281	ACTIVE	10	San Diego			25	0	"0"	2003-12-19 17:29:29.366	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
15	SANDAG_ROAD.I15SD.I15	4	281	ACTIVE	15	I-15			25	0	"0"	2003-12-19 17:29:40.594	9068	2024-01-25 20:15:41.962	1	1	SEED	0	1
