TOLL_ROAD_ID	TOLL_ROAD_CODE	ROAD_AGENCY_ID	DATA_STATUS_ID	DATA_STATUS_CODE	ROAD_NAME	CREATED_ON	CREATED_BY_ID	UPDATED_ON	UPDATED_BY_ID	VERSION	PID	P_UUID	ALH_ID
1	ATCAS_ROAD.I580	23	281	ACTIVE	I-580	2016-02-22 00:00:00.000	9043	2026-02-02 12:56:25.292	1	1	SEED	0	1
2	"680"	23	281	ACTIVE	I-680 	2017-08-31 00:00:00.000	9043	2026-02-02 12:56:42.650	1	1	SEED	0	1
3	LAMTA_ROAD.I10	24	281	ACTIVE	I-10	2012-10-30 00:00:00.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
4	SANDAG_ROAD.I15SD	25	281	ACTIVE	I-15 SANDAG	2003-12-19 17:29:29.366	9068	2026-02-02 12:56:58.823	1	1	SEED	0	1
5	LAMTA_ROAD.I110	24	281	ACTIVE	I-110	2012-06-11 00:00:00.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
6	SJH_ROAD.SR73	21	281	ACTIVE	SR-73	1993-10-09 15:32:23.000	7	2024-01-25 20:15:39.878	1	1	SEED	0	1
7	SR91_ROAD.SR91	22	281	ACTIVE	SR-91	2003-12-19 17:30:26.223	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
8	SANDAG_ROAD.SR125	25	281	ACTIVE	SR-125	2007-12-26 14:25:20.000	9068	2024-01-25 20:15:39.878	1	2	SEED	0	1
9	FE_ROAD.SR133	20	281	ACTIVE	SR-133	1970-01-01 00:00:00.000	1	2024-01-25 20:15:39.878	1	1	SEED	0	1
10	ATCAS_ROAD.SR237	23	281	ACTIVE	SR-237	2012-06-11 00:00:00.000	9043	2024-01-25 20:15:39.878	1	1	SEED	0	1
11	FE_ROAD.SR241	20	281	ACTIVE	SR-241	1970-01-01 00:00:00.000	1	2024-01-25 20:15:39.878	1	1	SEED	0	1
12	FE_ROAD.SR261	20	281	ACTIVE	SR-261	1993-10-09 15:30:48.000	7	2024-01-25 20:15:39.878	1	1	SEED	0	1
13	Andrade	23	281	ACTIVE	I-680  	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.682	1	1	SEED	0	1
14	Mission	23	281	ACTIVE	I-680    	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.758	1	1	SEED	0	1
15	Calaveras	23	281	ACTIVE	I-680     	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.793	1	1	SEED	0	1
16	SJH_ROAD.MD	21	281	ACTIVE	McDonalds	2003-12-19 17:31:46.126	9068	2024-01-25 20:15:39.878	1	1	SEED	0	1
17	Washington	23	281	ACTIVE	I-680   	2010-10-01 00:00:00.000	9043	2026-02-02 12:56:42.727	1	1	SEED	0	1
